id,word,reading,meaning,meaningZh,image_review,image_type,visual_domain,image_query_en
n1_02249,渡り鳥,わたりどり,migratory bird;bird of passage,迁徙的鸟类,NO PICTURE,single_object_or_place,animal,migratory bird
n1_02445,畜産,ちくさん,animal husbandry,畜牧业,NO PICTURE,single_object_or_place,animal,animal husbandry
n1_03362,雛,ひな,young bird;chick;doll,雏鸟;玩偶,OK,single_object_or_place,animal,young bird
n1_03461,鼠,ねず,1. mouse;rat; 2. dark gray;slate color,老鼠;灰色,NO PICTURE,single_object_or_place,animal,1. mouse
n1_00497,人体,じんたい,human body,人体,OK,single_object_or_place,body_health,human body
n1_00572,体付き,からだつき,body build;figure,体型,NO PICTURE,single_object_or_place,body_health,body build
n1_00642,保養,ほよう,health preservation;recuperation;recreation,休养;疗养;修养,NO PICTURE,single_object_or_place,body_health,health preservation
n1_00670,健全,けんぜん,health;soundness;wholesome,健康,NO PICTURE,single_object_or_place,body_health,health
n1_00671,健在,けんざい,in good health;well,健在,NO PICTURE,single_object_or_place,body_health,in good health
n1_00727,全快,ぜんかい,complete recovery of health,康复,NO PICTURE,single_object_or_place,body_health,complete recovery of health
n1_01256,天体,てんたい,heavenly body,天体,NO PICTURE,single_object_or_place,body_health,heavenly body
n1_01487,建前,たてまえ,face;official stance;public position or attitude (as opposed to private thoughts),冠冕堂皇的理由;表面的说法,NO PICTURE,single_object_or_place,body_health,face
n1_01708,手元,てもと,on hand;at hand;at home,手边;近处,NO PICTURE,single_object_or_place,body_health,on hand
n1_01898,新人,しんじん,new face;newcomer,新人;新面孔,NO PICTURE,single_object_or_place,body_health,new face
n1_02363,物体,ぶったい,body;object,物体,NO PICTURE,single_object_or_place,body_health,body
n1_02459,病,やまい,illness;disease,疾病,NO PICTURE,single_object_or_place,body_health,illness
n1_02603,穂,ほ,ear (of plant);head (of plant),穗,NO PICTURE,single_object_or_place,body_health,ear
n1_02758,肉体,にくたい,the body;the flesh,身体,NO PICTURE,single_object_or_place,body_health,body
