id,word,reading,meaning,meaningZh,image_review,image_type,visual_domain,image_query_en
n3_05705,兎,うさぎ,"rabbit,hare,cony",兔子,OK,single_object_or_place,animal,rabbit
n3_06732,虎,とら,tiger,老虎,OK,single_object_or_place,animal,tiger
n3_07054,馬,うま,"(1) horse,(2) promoted bishop (shogi)",马,OK,single_object_or_place,animal,horse
n3_07067,魚,うお,fish,鱼,OK,single_object_or_place,animal,fish
n3_07070,鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color",老鼠、深灰色,OK,single_object_or_place,animal,mouse
n3_05315,お腹,おなか,stomach,肚子、胃,OK,single_object_or_place,body_health,stomach
n3_05355,そっと,そっと / そうっと / そおっと,face of the earth,地面、地表,OK,single_object_or_place,body_health,face of the earth
n3_05533,一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn",另一方面、同时、只,NO PICTURE,single_object_or_place,body_health,on the other hand
n3_05686,健康,けんこう,"health,sound,wholesome",健康,NO PICTURE,single_object_or_place,body_health,health
n3_06180,手品,てじな,"sleight of hand,conjuring trick,magic,juggling",魔术、戏法,NO PICTURE,single_object_or_place,body_health,sleight of hand
n3_06626,笑顔,えがお,smiling face,笑脸,NO PICTURE,single_object_or_place,body_health,smiling face
n3_06698,胃,い,stomach,肚子、胃,NO PICTURE,single_object_or_place,body_health,stomach
n3_06877,身,み,"body,main part,oneself,sword",身体,NO PICTURE,single_object_or_place,body_health,body
n3_06878,身体,しんたい,the body,身体,NO PICTURE,single_object_or_place,body_health,body
n3_07016,面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page",脸、表面、面具、页面,NO PICTURE,single_object_or_place,body_health,face
n3_05484,ドレス,ドレス,dress,连衣裙、礼服,OK,single_object_or_place,clothing,dress
n3_05505,ベルト,ベルト,Belt for western clothes,皮带、腰带,OK,single_object_or_place,clothing,Belt for western clothes
n3_06740,衣服,いふく,clothes,衣服,NO PICTURE,single_object_or_place,clothing,clothes
n3_05725,円,えん,"circle,money",钱,NO PICTURE,single_object_or_place,color_shape,circle
n3_06335,格好,かっこう,"shape,form,posture,suitability",,NO PICTURE,single_object_or_place,color_shape,shape
n3_06564,真っ赤,まっか,"deep red,flushed (of face)",深红、通红,NO PICTURE,single_object_or_place,color_shape,deep red
n3_05464,スープ,スープ,(Western) soup,汤、西式汤,OK,single_object_or_place,food_drink,soup
n3_05498,ビール,ばくしゅ / ビール,beer,啤酒,OK,single_object_or_place,food_drink,beer
n3_05517,ミルク,ミルク,milk,牛奶,OK,single_object_or_place,food_drink,milk
n3_05527,ワイン,ワイン,wine,葡萄酒、红酒,OK,single_object_or_place,food_drink,wine
n3_06393,水準,すいじゅん,"(1) water level,(2) level,standard",水准、水平、标准,NO PICTURE,single_object_or_place,food_drink,water level
n3_06516,生物,せいぶつ,raw food,生物、生食,NO PICTURE,single_object_or_place,food_drink,raw food
n3_06520,田,た,rice field,稻田,OK,single_object_or_place,food_drink,rice field
n3_06728,茶,ちゃ,tea,茶,NO PICTURE,single_object_or_place,food_drink,tea
n3_07040,食事,しょくじ,meal,饭、用餐,NO PICTURE,single_object_or_place,food_drink,meal
n3_07043,食料,しょくりょう,food,食物,NO PICTURE,single_object_or_place,food_drink,food
n3_07045,食物,しょくもつ,"food,foodstuff",食物,NO PICTURE,single_object_or_place,food_drink,food
n3_05462,スター,スター / スタア,star,星星,NO PICTURE,single_object_or_place,nature_weather,star
n3_05949,天候,てんこう,weather,天气,NO PICTURE,single_object_or_place,nature_weather,weather
n3_05951,太陽,たいよう,"sun,solar",太阳,OK,single_object_or_place,nature_weather,sun
n3_06267,日,にち,"sun,sunshine,day",太阳、日子,NO PICTURE,single_object_or_place,nature_weather,sun
n3_06306,月,つき,"moon,month",月亮,OK,single_object_or_place,nature_weather,moon
n3_06329,松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)",松树、最高级,OK,single_object_or_place,nature_weather,pine tree
n3_06404,沖,おき,open sea,近海、海上,NO PICTURE,single_object_or_place,nature_weather,open sea
n3_06427,消防,しょうぼう,"fire fighting,fire department",消防、消防部门,NO PICTURE,single_object_or_place,nature_weather,fire fighting
n3_05442,グラス,グラス,"(1) glass,(2) grass",玻璃杯、草,OK,single_object_or_place,object_tool,glass
n3_05448,コンピューター,コンピュータ / コンピューター,computer,电脑、计算机,OK,single_object_or_place,object_tool,computer
n3_05490,バッグ,バッグ / バック,"bag,bug",包、袋子,NO PICTURE,single_object_or_place,object_tool,bag
n3_06087,弁当,べんとう,box lunch,便当,OK,single_object_or_place,object_tool,box lunch
n3_06244,教科書,きょうかしょ,text book,教科书,OK,single_object_or_place,object_tool,text book
n3_06254,文字,もじ,"letter (of alphabet),character",文字、字符,NO PICTURE,single_object_or_place,object_tool,letter
n3_06342,椅子,いす,chair,椅子,OK,single_object_or_place,object_tool,chair
n3_06358,機械,きかい,"machine,mechanism",机器、机械,OK,single_object_or_place,object_tool,machine
n3_06633,答案,とうあん,"examination paper,examination script",答卷、试卷,NO PICTURE,single_object_or_place,object_tool,examination paper
n3_06741,表,ひょう,"table (e.g. Tab 1),chart,list",表格、图表、列表,NO PICTURE,single_object_or_place,object_tool,table
n3_06746,袋,ふくろ,"bag,sack",袋子、麻袋,NO PICTURE,single_object_or_place,object_tool,bag
n3_06968,金額,きんがく,amount of money,金额,NO PICTURE,single_object_or_place,object_tool,amount of money
n3_06977,鍵,かぎ,key,钥匙,NO PICTURE,single_object_or_place,object_tool,key
n3_05306,おじいさん,おじいさん,"grandfather,male senior-citizen",祖父、爷爷,OK,single_object_or_place,person_family,grandfather
n3_05509,ボーイ,ボーイ,boy,男孩,NO PICTURE,single_object_or_place,person_family,boy
n3_05606,人込み,ひとごみ,crowd of people,人群,OK,single_object_or_place,person_family,crowd of people
n3_05616,他人,たにん,"another person,unrelated person,outsider,stranger",他人、陌生人,NO PICTURE,single_object_or_place,person_family,another person
n3_05793,医師,いし,"doctor,physician",医生,OK,single_object_or_place,person_family,doctor
n3_05816,友,とも,"friend,companion,pal",朋友,NO PICTURE,single_object_or_place,person_family,friend
n3_05817,友人,ゆうじん,friend,朋友,NO PICTURE,single_object_or_place,person_family,friend
n3_05941,大家,おおや,"rich family,distinguished family",富裕人家、名门,NO PICTURE,single_object_or_place,person_family,rich family
n3_05963,女子,じょし,"woman,girl",女孩,OK,single_object_or_place,person_family,woman
n3_05973,婦人,ふじん,"woman,female",女性、妇人,NO PICTURE,single_object_or_place,person_family,woman
n3_06242,教師,きょうし,teacher (classroom),教师、老师,OK,single_object_or_place,person_family,teacher
n3_06321,本人,ほんにん,the person himself,本人,NO PICTURE,single_object_or_place,person_family,person himself
n3_06382,母親,ははおや,mother,母亲、妈妈,NO PICTURE,single_object_or_place,person_family,mother
n3_06471,父親,ちちおや,father,父亲、爸爸,NO PICTURE,single_object_or_place,person_family,father
n3_06523,男の人,おとこのひと,man,男人,NO PICTURE,single_object_or_place,person_family,man
n3_06684,美人,びじん,beautiful person (woman),美人、美女,NO PICTURE,single_object_or_place,person_family,beautiful person
n3_06692,者,もの,person,人、人物,NO PICTURE,single_object_or_place,person_family,person
n3_06772,親友,しんゆう,"close friend,buddy",好友、亲友,NO PICTURE,single_object_or_place,person_family,close friend
n3_06899,迷子,まいご,lost (stray) child,迷路的孩子,NO PICTURE,single_object_or_place,person_family,lost  child
n3_06964,金持ち,かねもち,rich man,有钱人,NO PICTURE,single_object_or_place,person_family,rich man
n3_05432,オフィス,オフィス / オフイス,office,办公室、事务所,NO PICTURE,single_object_or_place,place_building,office
n3_05530,一家,いっか,"a house,a home,a family,a household",一家、家庭,NO PICTURE,single_object_or_place,place_building,house
n3_05573,中学,ちゅうがく,"middle school,junior high school",中学、初中,NO PICTURE,single_object_or_place,place_building,middle school
n3_05640,位置,いち,"place,situation,position,location",位置、地点,NO PICTURE,single_object_or_place,place_building,place
n3_05708,入学,にゅうがく,"entry to school or university,matriculation",入学,NO PICTURE,single_object_or_place,place_building,entry to school or university
n3_05911,場,ば,"place,field (physics)",场所、场,NO PICTURE,single_object_or_place,place_building,place
n3_05924,外,ほか,"other place,the rest",外面、其他地方、其余,NO PICTURE,single_object_or_place,place_building,other place
n3_06037,居間,いま,living room (western style),客厅,OK,single_object_or_place,place_building,living room
n3_06042,岸,きし,"bank,coast,shore",银行,NO PICTURE,single_object_or_place,place_building,bank
n3_06047,工場,こうば,"factory,plant,mill,workshop",工厂,NO PICTURE,single_object_or_place,place_building,factory
n3_06227,支店,してん,branch store (office),分店、支店,NO PICTURE,single_object_or_place,place_building,branch store
n3_06912,通学,つうがく,commuting to school,上学、通学,NO PICTURE,single_object_or_place,place_building,commuting to school
n3_06933,道路,どうろ,"road,highway",道路、公路,NO PICTURE,single_object_or_place,place_building,road
n3_05434,カー,カー,car,汽车,OK,single_object_or_place,transport,car
n3_05685,停留所,ていりゅうじょ,bus or tram stop,公交站、电车站,OK,single_object_or_place,transport,bus or tram stop
n3_05750,列車,れっしゃ,train (ordinary),列车、火车,OK,single_object_or_place,transport,train
n3_06543,発車,はっしゃ,departure of a vehicle,发车,NO PICTURE,single_object_or_place,transport,departure of a vehicle
n3_06718,船,ふね,"ship,boat,watercraft,shipping,vessel,steamship",船,OK,single_object_or_place,transport,ship
n3_05385,どう,（接。副）,"child,servant,foolishness",孩子、仆人、愚蠢,NO PICTURE,single_object_or_place,person_family,child
n3_05284,あんなに,あんなに,"to that extent,to that degree",,NO PICTURE,person_action_scene,action_state,person thatting extent
n3_05301,うなる,うなる,"to groan,to moan",,NO PICTURE,person_action_scene,action_state,person groaning
n3_05314,お目に掛かる,おめにかかる,to meet (someone of higher status) | to be recognized (esp. by someone of higher status) | to be visible,拜见、被看见,OK,person_action_scene,action_state,person meeting
n3_05339,しまう,（終わる）,"to finish,to close,to do something completely",完成、结束、做完,NO PICTURE,person_action_scene,action_state,person finishing
n3_05341,しゃべる,しゃべる,"to talk,to chat,to chatter",,NO PICTURE,person_action_scene,action_state,person talking
n3_05376,できる,（可能。出現。発生）,"to be able to,to be ready,to occur",能够、会,NO PICTURE,person_action_scene,action_state,person being able to
