id,word,reading,meaning,meaningZh,current_review,folder_review,changed
n1_02249,渡り鳥,わたりどり,migratory bird;bird of passage,迁徙的鸟类,NO PICTURE,NO PICTURE,no
n1_03362,雛,ひな,young bird;chick;doll,雏鸟;玩偶,NO,OK,yes
n1_03461,鼠,ねず,1. mouse;rat; 2. dark gray;slate color,老鼠;灰色,NO PICTURE,NO PICTURE,no
n1_00497,人体,じんたい,human body,人体,OK,OK,no
n1_00572,体付き,からだつき,body build;figure,体型,NO PICTURE,NO PICTURE,no
n1_01256,天体,てんたい,heavenly body,天体,NO,NO PICTURE,yes
n1_01898,新人,しんじん,new face;newcomer,新人;新面孔,NO PICTURE,NO PICTURE,no
n1_02363,物体,ぶったい,body;object,物体,NO PICTURE,NO PICTURE,no
n1_02459,病,やまい,illness;disease,疾病,NO PICTURE,NO PICTURE,no
n1_02758,肉体,にくたい,the body;the flesh,身体,NO PICTURE,NO PICTURE,no
n1_03125,身体,からだ,the body,身体,NO PICTURE,NO PICTURE,no
n1_03384,面,おも,face,脸,NO PICTURE,NO PICTURE,no
n1_03395,頂,いただき,(top of) head;summit;spire,头顶,NO,NO PICTURE,yes
n1_00195,ジャンパー,ジャンパー / ジャンパ / ジャンバー,jacket;jumper,夹克,NO,OK,yes
n1_00217,ソックス,ソックス,socks,袜子,NO,OK,yes
n1_00311,ユニフォーム,ユニフォーム / ユニホーム,uniform,制服,NO,OK,yes
n1_00856,制服,せいふく,uniform,制服,NO PICTURE,NO PICTURE,no
n1_02906,衣類,いるい,clothes;clothing;garments,衣物、服装,NO,NO PICTURE,yes
n1_03135,軍服,ぐんぷく,military or naval uniform,军服,NO,OK,yes
n1_00313,ライス,ライス,rice,米饭,NO,OK,yes
n1_00455,主食,しゅしょく,staple food,主食,NO PICTURE,NO PICTURE,no
n1_00467,乳,ちち,milk;breast;loop,奶；乳房,NO PICTURE,NO PICTURE,no
n1_01129,喫茶,きっさ,tea drinking;tea house,茶馆,NO,OK,yes
n1_01327,定食,ていしょく,set meal;special (of the day),套餐；特餐,NO PICTURE,NO PICTURE,no
n1_02016,杯,さかずき,wine cups,酒杯,NO,OK,yes
n1_02349,熱湯,ねっとう,boiling water,沸水,NO,OK,yes
n1_02829,苗,なえ,rice seedling,秧苗,NO,OK,yes
n1_02843,茶の湯,ちゃのゆ,tea ceremony,茶道,NO PICTURE,NO PICTURE,no
n1_00374,三日月,みかずき,new moon;crescent moon,新月,OK,OK,no
n1_00384,上空,じょうくう,sky;the skies;high-altitude sky;upper air,高空,NO,OK,yes
n1_01089,吹奏,すいそう,playing wind instruments,吹奏,NO,OK,yes
n1_01420,山脈,さんみゃく,mountain range,山脉,OK,OK,no
n1_01463,年輪,ねんりん,annual tree ring,年轮,OK,OK,no
n1_01950,晴天,せいてん,fine weather,晴天,NO,OK,yes
n1_02046,桐,きり,paulownia tree,桐,NO PICTURE,NO PICTURE,no
n1_02152,気象,きしょう,weather;climate,气象,NO PICTURE,NO PICTURE,no
n1_02160,水源,すいげん,source of river;fountainhead,水源,NO PICTURE,NO PICTURE,no
n1_02223,海流,かいりゅう,ocean current,海流,NO PICTURE,NO PICTURE,no
n1_02312,焚火,たきび,(open) fire,篝火,OK,OK,no
n1_02827,花壇,かだん,flower bed,花坛,NO,OK,yes
n1_02929,西日,にしび,westering sun,西斜阳,NO PICTURE,NO PICTURE,no
n1_03365,雨具,あまぐ,rain gear,雨衣,OK,OK,no
n1_03366,雨天,うてん,rainy weather,下雨天,OK,OK,no
n1_00238,ティッシュペーパー,ティッシュペーパー / ティッシュ・ペーパー / ティシュペーパー,tissue paper,纸巾,NO PICTURE,NO PICTURE,no
n1_01511,張り紙,はりがみ,paper patch;paper backing;poster,海报,NO PICTURE,NO PICTURE,no
n1_01887,文,ふみ,letter;writings,信,NO PICTURE,NO PICTURE,no
n1_02127,残金,ざんきん,remaining money,余钱,NO PICTURE,NO PICTURE,no
n1_02298,火燵,こたつ,table with heater;(orig) charcoal brazier in a floor well,暖桌,NO PICTURE,NO PICTURE,no
n1_03070,貨幣,かへい,money;currency;coinage,货币,NO PICTURE,NO PICTURE,no
n1_00034,お祖母さん,おばあさん,grandmother;female senior-citizen,祖母,NO PICTURE,NO PICTURE,no
n1_00035,お祖父さん,おじいさん,grandfather;male senior-citizen,祖父,NO PICTURE,NO PICTURE,no
n1_00334,一人,いちにん,one person,一人,NO PICTURE,NO PICTURE,no
