id,word,reading,meaning,meaningZh,current_review,folder_review,changed
n4_07604,虫,むし,insect,虫、昆虫,OK,OK,no
n4_07592,背中,せなか,back of the body,背部、后背,OK,OK,no
n4_07195,ケーキ,ケーキ,cake,蛋糕,OK,OK,no
n4_07481,水道,すいどう,water supply,自来水、水道,NO PICTURE,NO PICTURE,no
n4_07504,湯,ゆ,hot water,热水,OK,OK,no
n4_07573,米,こめ,uncooked rice,米、生米,OK,OK,no
n4_07691,食事,しょくじ・する,to have a meal,吃饭、用餐,OK,OK,no
n4_07147,つき,つくえ / つき,moon,月亮,OK,OK,no
n4_07322,地震,じしん,earthquake,地震,OK,OK,no
n4_07341,天気予報,てんきよほう,weather forecast,天气预报,NO,OK,yes
n4_07444,星,ほし,star,星星,OK,OK,no
n4_07509,火,ひ,fire,火、火灾,OK,OK,no
n4_07510,火事,かじ,fire,火、火灾,NO,OK,yes
n4_07685,雲,くも,cloud,云,NO,OK,yes
n4_07194,ガラス,ガラス,a glass pane,玻璃、玻璃窗,OK,OK,no
n4_07213,パソコン,パソコン,personal computer,个人电脑,OK,OK,no
n4_07438,新聞社,しんぶんしゃ,newspaper company,报社,OK,OK,no
n4_07340,大学生,だいがくせい,university student,大学生,OK,OK,no
n4_07343,夫,おっと,husband,丈夫,NO PICTURE,NO PICTURE,no
n4_07346,妻,つま,(humble) wife,妻子、内人,NO PICTURE,NO PICTURE,no
n4_07387,御主人,ごしゅじん,(honorable) your husband,您的丈夫,NO PICTURE,NO PICTURE,no
n4_07560,祖母,そぼ,grandmother,祖母、奶奶,NO PICTURE,NO PICTURE,no
n4_07561,祖父,そふ,grandfather,祖父、爷爷,NO PICTURE,NO PICTURE,no
n4_07699,高校生,こうこうせい,high school student,高中生,OK,OK,no
n4_07193,ガソリンスタンド,ガソリンスタンド / ガソリン・スタンド,petrol station,加油站,OK,OK,no
n4_07215,ビル,ビル,building or bill,大楼、账单,OK,OK,no
n4_07237,中学校,ちゅうがっこう,"junior high school,middle school",初中、中学,OK,OK,no
n4_07245,事務所,じむしょ,office,办公室、事务所,OK,OK,no
n4_07261,会場,かいじょう,assembly hall or meeting place,会场、集合地点,OK,OK,no
n4_07264,会議室,かいぎしつ,meeting room,会议室,NO PICTURE,NO PICTURE,no
n4_07277,入学,にゅうがく・する,to enter school or university,入学,NO PICTURE,NO PICTURE,no
n4_07332,売り場,うりば,place where things are sold,卖场、柜台,NO PICTURE,NO PICTURE,no
n4_07362,小学校,しょうがっこう,elementary school,小学,OK,OK,no
n4_07369,工場,こうじょう,factory,工厂,OK,OK,no
n4_07377,店員,てんいん,shop assistant,店员,OK,OK,no
n4_07439,旅館,りょかん,Japanese hotel,日式旅馆,OK,OK,no
n4_07555,研究室,けんきゅうしつ,"study room,laboratory",研究室、实验室,NO,OK,yes
