row,id,level,word,reading,matchedTerm,sentenceId,sentenceJa,sentenceEn,sentenceZh,authorJa,authorEn,authorZh,score,status
66,n5_07923,N5,交番,こうばん,交番,173841,向こうの交番で聞いてください。,Ask at the police station over there.,問那邊的警察崗哨。,tommy__san,CK,Martha,127,matched
67,n5_07948,N5,傘,かさ,傘,11839708,傘を誰に貸したのか思い出せないんだ。,I can't recall who I lent my umbrella to.,,bunbuku,Lumi_alt,,96,matched
68,n5_07980,N5,切符,きっぷ,切符,10290460,この切符は10月20日まで有効です。,The ticket is valid until October twentieth.,,small_snow,CK,,98,matched
69,n5_08024,N5,地図,ちず,地図,224475,ここにドイツの大きな地図があります。,Here's a big map of Germany.,這兒有張很大的德國地圖。,arnab,CK,DaoSeng,130,matched
70,n5_08103,N5,手紙,てがみ,手紙,10623192,毎週、手紙を書いて送ってくれるのよ。,He writes me a letter every week.,他每週寫一封信給我。,DJ_Saidez,DJ_Saidez,Martha,130,matched
71,n5_08115,N5,新聞,しんぶん,新聞,1869104,夫は朝食を食べながら新聞を読みます。,My husband reads the newspaper while eating breakfast.,我丈夫一边吃早餐一边读报纸。,bunbuku,CK,vicch,130,matched
72,n5_08131,N5,時計,とけい,時計,2975905,腕時計、2分早くセットしなくっちゃ。,I need to set my watch to two minutes faster.,我得把手表调快两分钟。,Fukuko,KiwiCreme,crescat,130,matched
73,n5_08152,N5,本,ほん,本,13266217,トムさんは日本の会社で働いています。,Tom works for a Japanese company.,,chaarii_jpn,Hybrid,,96,matched
74,n5_08154,N5,机,つくえ,机,686307,ダンスに関する本が机の上にあります。,There is a book about dancing on the desk.,桌子上有一本关于舞蹈的书。,arihato,Zifre,sadhen,128,matched
75,n5_08238,N5,箱,はこ,箱,12609829,この箱、すごく重いな。中身は何なの？,This box is really heavy. What's in it?,,bunbuku,CK,,96,matched
76,n5_08240,N5,紙,かみ,紙,10623192,毎週、手紙を書いて送ってくれるのよ。,He writes me a letter every week.,他每週寫一封信給我。,DJ_Saidez,DJ_Saidez,Martha,128,matched
77,n5_08262,N5,花瓶,かびん,花瓶,10114723,トムが壊した花瓶はメアリーのなんだ。,The vase that Tom broke is Mary's.,湯姆摔壞的是瑪莉的花瓶。,bunbuku,CK,LeviHighway,130,matched
78,n5_08267,N5,葉書,はがき,葉書,78127,旅行中に葉書を出すのは好きではない。,I don't like to send postcards when I'm on a trip.,,mookeee,CK,,98,matched
79,n5_08317,N5,鉛筆,えんぴつ,鉛筆,222895,この鉛筆はどのくらい長いでしょうか？,How long is this pencil?,這支鉛筆有多長？,bunbuku,CK,nickyeow,130,matched
80,n5_08329,N5,雑誌,ざっし,雑誌,232251,あなたは何か雑誌を購読していますか。,Do you subscribe to any magazines?,你有訂閱任何雜誌嗎？,\N,AMIKEMA,Martha,130,matched
81,n5_08335,N5,電話,でんわ,電話,13624409,友達にハルキウから電話をかけてます。,I'm calling my friend from Kharkiv.,,small_snow,Teashrock,,98,matched
82,n5_07726,N5,おばあさん,おばあさん / おばーさん,おばあさん,93120,彼女はおばあさんに大変よく似ている。,She strongly resembles her grandmother.,她和她婆婆实在很像。,\N,CK,aliene,136,matched
83,n5_07729,N5,お兄さん,おにいさん,お兄さん,89291,彼女は私をお兄さんに紹介してくれた。,She introduced me to her brother.,她把我介紹給她的弟弟認識。,mookeee,CK,Martha,134,matched
84,n5_07730,N5,お姉さん,おねえさん,お姉さん,177891,君はお姉さんほど早く起きないんだね。,You don't get up as early as your sister.,你比你妹妹起得晚，不是么？,bunbuku,Swift,sadhen,134,matched
85,n5_07734,N5,お父さん,おとうさん,お父さん,11706860,お父さんは、バスの運転手さんなのよ。,His father is a bus driver.,,small_snow,Amastan,,102,matched
86,n5_07883,N5,一人,ひとり,一人,11465053,トムは一人で留守番をしたくなかった。,Tom didn't want to stay at home by himself.,,small_snow,CK,,98,matched
